name,time,price,rsi,sharpe,action
SCSC,2000/02/10,9.75,40.1598,0.00658305,buy
SCSC,2000/03/02,10.4375,53.3511,-0.0150648,sell
TELL,2000/02/14,10,44.4371,-0.026426,buy
TELL,2000/03/02,11,57.6351,0.112044,sell
TRP,2000/01/07,3.13856,34.4567,0.0752837,buy
TRP,2000/03/03,2.99624,66.2921,0.0725372,sell
REG,2000/01/24,7.68944,43.4832,-0.0705198,buy
REG,2000/03/03,7.62848,52.2157,-0.0250839,sell
TECD,2000/01/25,23,44.2294,-0.0119416,buy
TECD,2000/03/03,22.81,55.2445,0.00110063,sell
CAKE,2000/02/28,7.30809,41.6036,-0.0706107,buy
CAKE,2000/03/03,8.05407,56.5083,0.0739185,sell
LSI,2000/02/22,6.26143,44.7672,-0.102412,buy
LSI,2000/03/03,6.4284,54.1397,0.00689706,sell
WASH,2000/02/25,7.202,34.0764,-0.125296,buy
WASH,2000/03/03,7.78314,51.7109,-0.127468,sell
SRI,2000/01/11,13.75,42.2928,0.0574228,buy
SRI,2000/03/06,11.69,59.4373,0.0894683,sell
MPAA,2000/03/01,2.25,43.161,-0.0207501,buy
MPAA,2000/03/06,3,57.6566,0.123683,sell
KMX,2000/01/13,1,35.6605,-0.082225,buy
KMX,2000/03/06,1.0315,69.3915,0.175427,sell
CRS,2000/02/25,7.42092,34.5939,-0.100596,buy
CRS,2000/03/07,7.87398,51.3002,0.0541382,sell
CBT,2000/02/18,8.32471,41.0054,-0.253485,buy
CBT,2000/03/07,9.50227,67.0546,0.111782,sell
FTR,2000/02/23,53.0225,46.6914,0.0349895,buy
FTR,2000/03/07,55.16,54.5449,-0.128062,sell
COP,2000/01/04,9.19729,33.5518,-0.250282,buy
COP,2000/03/07,8.45402,57.312,0.0553098,sell
HSC,2000/01/14,9.00766,43.6716,-0.0652357,buy
HSC,2000/03/09,8.09946,51.3259,0.0351797,sell
DLX,2000/02/11,9.10515,37.4131,-0.15811,buy
DLX,2000/03/09,9.01733,51.7831,-0.100526,sell
CCU,2000/01/31,20.1583,42.3486,-0.0626925,buy
CCU,2000/03/09,18.7843,56.4947,-0.101085,sell
DLTR,2000/01/20,10.9444,49.2724,-0.0361435,buy
DLTR,2000/03/09,9.5,56.1911,-0.00048161,sell
FISV,2000/01/04,5.91667,42.0774,-0.0434431,buy
FISV,2000/03/09,5.355,55.9805,-0.0674226,sell
EAT,2000/02/10,7.57105,45.0575,-0.0149186,buy
EAT,2000/03/10,7.16935,52.3107,-0.0765839,sell
PLUG,2000/02/28,1068,49.7197,0.184709,buy
PLUG,2000/03/10,1498,67.8331,0.22517,sell
IGT,2000/01/25,3.41955,47.9591,0.0390069,buy
IGT,2000/03/10,3.22329,56.865,0.0636531,sell
CNI,2000/01/24,2.71526,34.9482,-0.152245,buy
CNI,2000/03/13,2.80756,54.1511,-0.0242249,sell
WCN,2000/01/06,1.90564,44.2461,0.134566,buy
WCN,2000/03/14,1.73674,53.8763,0.0620608,sell
IEP,2000/02/24,3.56944,39.8805,0.00374015,buy
IEP,2000/03/14,3.62795,56.9289,0.00331684,sell
